Structure: player,piece name,x,y,rotation,flip


Game 1 with players: R AB_1 AB_2 AB_2
RED,L4,12,9,2,1
YELLOW,z5,9,9,3,1
GREEN,L5,5,1,0,0
BLUE,C5,7,16,1,0
RED,cube,19,9,2,0
YELLOW,3corner,4,8,0,0
GREEN,tree5,7,19,2,0
BLUE,L5,10,16,1,0
RED,z4,9,6,3,1
YELLOW,M5,12,11,2,1
GREEN,M5,9,17,2,0
BLUE,X5,13,18,0,0
RED,l4,10,0,2,1
YELLOW,t4,14,12,2,0
GREEN,Z5,5,14,0,0
BLUE,tree5,19,12,1,1
RED,t4,8,8,3,0
YELLOW,z4,9,14,2,1
GREEN,z4,7,13,1,0
BLUE,cube,14,15,0,0
RED,3corner,17,0,3,0
YELLOW,l4,12,14,0,0
GREEN,line3,3,0,0,0
BLUE,L4,17,9,1,0
RED,line3,19,5,3,0
YELLOW,line5,16,9,3,1
GREEN,3corner,5,7,1,1
BLUE,l4,18,5,3,0
YELLOW,line3,3,6,2,1
GREEN,t4,6,9,2,0
BLUE,z4,5,18,0,1
GREEN,twoPiece,2,2,0,0
BLUE,3corner,0,16,1,0
GREEN,singleSquare,1,1,0,0
BLUE,line3,1,13,1,0
BLUE,twoPiece,10,19,0,0
BLUE,singleSquare,5,16,0,0

Game 6 with players: R AB_2 AB_0 R
RED,singleSquare,19,0,0,0
YELLOW,L5,2,0,3,0
GREEN,z5,1,18,3,0
BLUE,line5,19,17,3,1
RED,3corner,17,1,0,0
YELLOW,tree5,3,5,3,1
GREEN,chunky5,3,15,0,0
BLUE,X5,18,13,3,1
RED,L4,16,4,1,1
YELLOW,line5,1,5,1,0
GREEN,line5,0,13,1,0
BLUE,-L,16,15,3,1
RED,Z5,14,1,3,1
YELLOW,-L,1,9,1,0
GREEN,-L,4,13,3,0
BLUE,t4,15,12,0,0
RED,z4,14,4,3,0
YELLOW,L5tall,2,12,3,1
GREEN,L5tall,4,10,0,1
BLUE,z4,12,11,1,0
RED,twoPiece,14,7,1,0
YELLOW,z5,4,2,3,1
GREEN,T5,5,18,1,0
BLUE,line3,14,18,3,1
RED,L5,12,8,1,1
YELLOW,chunky5,4,8,0,0
GREEN,C5,6,8,1,0
BLUE,cube,14,8,3,1
RED,-L,10,4,2,1
YELLOW,T5,6,5,1,0
GREEN,L5,8,10,0,0
BLUE,l4,11,15,1,1
RED,tree5,17,7,1,0
YELLOW,C5,6,11,1,0
GREEN,M5,4,6,0,1
BLUE,M5,9,18,0,1
RED,z5,19,4,3,0
YELLOW,M5,7,1,0,0
GREEN,X5,7,15,0,0
BLUE,singleSquare,16,17,0,0
RED,cube,18,11,2,1
YELLOW,X5,8,8,0,0
GREEN,tree5,9,6,0,1
BLUE,twoPiece,16,6,3,0
RED,X5,9,1,1,0
YELLOW,Z5,9,12,0,1
GREEN,Z5,10,13,0,1
BLUE,3corner,8,16,0,0
RED,C5,15,10,0,0
YELLOW,l4,11,9,0,0
GREEN,l4,2,4,3,0
BLUE,L4,13,15,3,1
RED,t4,13,13,2,1
YELLOW,twoPiece,10,7,0,0
GREEN,cube,0,1,0,0
BLUE,z5,17,3,1,0
RED,line3,7,3,2,0
YELLOW,singleSquare,1,15,0,0
GREEN,L4,12,4,3,0
BLUE,T5,16,0,0,0
YELLOW,L4,2,17,1,0
GREEN,line3,3,1,1,0
BLUE,L5tall,19,7,3,0
GREEN,twoPiece,1,8,0,0
GREEN,singleSquare,0,7,0,0

Game 7 with players: R R AB_2 AB_2
RED,L5,17,0,0,0
YELLOW,twoPiece,0,0,3,0
GREEN,z5,0,17,1,0
BLUE,L5tall,18,19,2,0
RED,singleSquare,18,3,3,1
YELLOW,l4,3,2,0,1
GREEN,X5,3,18,2,0
BLUE,tree5,15,17,0,0
RED,l4,16,4,2,0
YELLOW,Z5,6,4,0,0
GREEN,line5,0,13,1,0
BLUE,line5,10,16,0,0
RED,-L,13,2,1,0
YELLOW,3corner,8,7,2,0
GREEN,-L,1,9,0,0
BLUE,-L,6,14,2,1
RED,T5,10,3,2,1
YELLOW,T5,9,9,1,0
GREEN,L5tall,0,5,3,1
BLUE,z5,2,13,0,1
RED,z5,7,2,1,0
YELLOW,singleSquare,5,1,3,1
GREEN,chunky5,3,3,0,0
BLUE,chunky5,3,16,2,1
RED,t4,12,5,3,0
YELLOW,L5,10,7,1,0
GREEN,T5,3,10,1,0
BLUE,T5,5,18,1,0
RED,M5,14,8,0,0
YELLOW,tree5,6,11,0,1
GREEN,C5,4,6,0,0
BLUE,C5,8,13,1,0
RED,X5,17,8,1,1
YELLOW,chunky5,13,10,0,0
GREEN,L5,8,8,0,1
BLUE,L5,12,11,0,1
RED,3corner,9,5,3,0
YELLOW,-L,15,13,3,0
GREEN,M5,6,1,0,1
BLUE,M5,17,16,2,0
RED,L5tall,19,11,3,0
YELLOW,z4,14,7,2,0
GREEN,tree5,2,1,2,0
BLUE,Z5,18,13,0,0
RED,cube,19,5,0,1
YELLOW,L4,13,15,1,0
GREEN,3corner,5,12,0,1
BLUE,X5,16,10,0,0
RED,twoPiece,15,6,0,0
YELLOW,t4,12,18,2,0
GREEN,twoPiece,3,14,0,0
BLUE,l4,9,19,0,0
RED,L4,14,0,0,1
YELLOW,L5tall,8,17,2,1
GREEN,z4,5,16,3,1
BLUE,L4,19,8,1,1
YELLOW,line3,9,15,2,1
GREEN,singleSquare,0,2,0,0
BLUE,z4,1,11,1,0
BLUE,3corner,14,14,0,0
BLUE,twoPiece,13,19,0,0
BLUE,singleSquare,0,10,0,0

Game 8 with players: AB_1 AB_2 AB_2 AB_0
RED,T5,18,0,0,0
YELLOW,L5tall,0,1,3,1
GREEN,tree5,0,18,3,1
BLUE,L5tall,18,19,2,0
RED,X5,16,3,1,1
YELLOW,chunky5,1,5,1,0
GREEN,C5,3,18,3,0
BLUE,chunky5,18,16,3,0
RED,line5,12,2,0,0
YELLOW,line5,0,9,1,0
GREEN,line5,1,13,1,0
BLUE,line5,13,18,0,0
RED,-L,8,1,0,1
YELLOW,-L,3,1,0,0
GREEN,-L,2,9,0,0
BLUE,-L,9,16,2,1
RED,L5tall,5,2,3,1
YELLOW,z5,3,6,0,1
GREEN,L5tall,3,12,3,1
BLUE,z5,5,15,0,1
RED,z5,6,5,1,0
YELLOW,T5,4,9,1,0
GREEN,z5,5,8,2,0
BLUE,T5,4,13,1,0
RED,chunky5,8,7,1,0
YELLOW,C5,6,11,0,0
GREEN,chunky5,8,10,1,0
BLUE,C5,6,18,1,0
RED,C5,10,9,1,0
YELLOW,L5,8,13,0,0
GREEN,T5,11,11,0,0
BLUE,L5,11,14,0,0
RED,L5,12,4,0,0
YELLOW,twoPiece,4,3,3,0
GREEN,L5,13,8,0,0
BLUE,M5,2,16,2,1
RED,M5,14,6,0,1
YELLOW,singleSquare,7,16,0,0
GREEN,M5,11,6,0,0
BLUE,X5,14,12,0,0
RED,tree5,16,8,1,0
YELLOW,M5,9,18,0,0
GREEN,X5,9,3,0,0
BLUE,tree5,17,11,0,1
RED,Z5,3,4,0,0
GREEN,l4,11,1,0,0
BLUE,Z5,15,15,0,1
RED,l4,11,0,0,0
GREEN,L4,6,3,3,1
BLUE,l4,0,13,3,0
RED,cube,17,5,0,0
GREEN,z4,15,0,0,0
BLUE,3corner,15,9,0,1
RED,L4,6,10,2,0
GREEN,line3,10,15,1,0
BLUE,twoPiece,18,13,0,0
RED,z4,18,9,1,0
GREEN,Z5,12,16,0,1
